#{"t_start": 1760174605.785933, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,13.183389
-200.0,200,13.238347
-200.0,200,13.287877
-200.0,200,13.340408
-200.0,200,13.389787
-200.0,200,13.4435
-200.0,200,13.498058
-200.0,200,13.554426
-200.0,200,13.604529
-200.0,200,13.65975
-200.0,200,13.709625
-200.0,200,13.762749
-200.0,200,13.815239
-200.0,200,13.874368
-200.0,200,13.926137
-200.0,200,13.979455
-200.0,200,14.029355
-200.0,200,14.084469
-200.0,200,14.138069
-200.0,200,14.192629
-200.0,200,14.243704
-200.0,200,14.298823
-200.0,200,14.349104
-200.0,200,14.406079
-200.0,200,14.456052
-200.0,200,14.518873
-200.0,200,14.573184
-200.0,200,14.629944
-200.0,200,14.6821
-200.0,200,14.739606
-200.0,200,14.789574
-200.0,200,14.843405
-200.0,200,14.894594
-200.0,200,14.949243
-200.0,200,15.002411
-200.0,200,15.057886
-200.0,200,15.110106
-200.0,200,15.167468
-200.0,200,15.217703
-200.0,200,15.271822
-200.0,200,15.322184
-200.0,200,15.377048
-200.0,200,15.426857
-200.0,200,15.481266
-200.0,200,15.532262
-200.0,200,15.588504
-200.0,200,15.638922
-200.0,200,15.692235
-200.0,200,15.743095
-200.0,200,15.800682
-200.0,200,15.852475
-200.0,200,15.906632
-200.0,200,15.956977
-200.0,200,16.012383
-200.0,200,16.063737
-200.0,200,16.118164
-200.0,200,16.168577
-200.0,200,16.224147
-200.0,200,16.274704
-200.0,200,16.328864
-200.0,200,16.380916
-200.0,200,16.438695
-200.0,200,16.494037
-200.0,200,16.55285
-200.0,200,16.610167
-200.0,200,16.673313
-200.0,200,16.724946
-200.0,200,16.779013
-200.0,200,16.82981
-200.0,200,16.886676
-200.0,200,16.93775
-200.0,200,16.992586
-200.0,200,17.043063
-200.0,200,17.098332
-200.0,200,17.148872
-200.0,200,17.20341
-200.0,200,17.255544
-200.0,200,17.312844
-200.0,200,17.364318
-200.0,200,17.41891
-200.0,200,17.469687
-200.0,200,17.526252
-200.0,200,17.581145
-200.0,200,17.643613
-200.0,200,17.696967
-200.0,200,17.755396
-200.0,200,17.807678
-200.0,200,17.863946
-200.0,200,17.915657
-200.0,200,17.97136
-200.0,200,18.02144
-200.0,200,18.075617
-200.0,200,18.125695
-200.0,200,18.181973
-200.0,200,18.232686
-200.0,200,18.286745
-200.0,200,18.336701
-200.0,200,18.392388
-200.0,200,18.442287
-200.0,200,18.496225
-200.0,200,18.546564
-200.0,200,18.602288
-200.0,200,18.652679
-200.0,200,18.706843
-200.0,200,18.75855
-200.0,200,18.815462
-200.0,200,18.867333
-200.0,200,18.922372
-200.0,200,18.972997
-200.0,200,19.03014
-200.0,200,19.081229
-200.0,200,19.136161
-200.0,200,19.18865
-200.0,200,19.24411
-200.0,200,19.29417
-200.0,200,19.348401
-200.0,200,19.398692
-200.0,200,19.454462
-200.0,200,19.504908
-200.0,200,19.559082
-200.0,200,19.61032
